date,year,month,city,mean_radiance,total_radiance,max_radiance
2019-07-01,2019,7,Abidjan,4.083329724996904,45929.86921684396,203.61000061035156
2019-08-01,2019,8,Abidjan,3.3672043152301265,37874.7895077294,70.5
2019-09-01,2019,9,Abidjan,4.126729986657812,46418.04148710161,94.12999725341797
2019-10-01,2019,10,Abidjan,4.593407556546249,51667.296677098966,132.4499969482422
2019-11-01,2019,11,Abidjan,4.65757689865135,52389.08249629838,117.95999908447266
2019-12-01,2019,12,Abidjan,4.438520233785463,49925.10220424007,103.5999984741211
2020-01-01,2020,1,Abidjan,4.163960747689447,46836.81834329288,137.83999633789062
2020-02-01,2020,2,Abidjan,4.563844499949744,51334.76724289349,146.55999755859375
2020-03-01,2020,3,Abidjan,4.910383737928707,55232.6895148674,94.29000091552734
2020-04-01,2020,4,Abidjan,5.337672793510213,60038.89713520896,176.11000061035156
2020-05-01,2020,5,Abidjan,5.232658493730091,58857.68146573395,86.52999877929688
2020-06-01,2020,6,Abidjan,4.243266711814018,47728.863023902166,84.61000061035156
2020-07-01,2020,7,Abidjan,5.076625984956793,57102.60577893301,98.02999877929688
2020-08-01,2020,8,Abidjan,5.069188185329394,57018.94435868172,109.38999938964844
2020-09-01,2020,9,Abidjan,4.745966862361794,53383.30528669656,97.13999938964844
2020-10-01,2020,10,Abidjan,4.731147989544196,53216.620513168054,103.68000030517578
2020-11-01,2020,11,Abidjan,4.7372708729588355,53285.491570223,108.4000015258789
2020-12-01,2020,12,Abidjan,5.132740619380031,57733.791108991616,96.63999938964844
2021-01-01,2021,1,Abidjan,4.817092087692417,54183.331862423685,86.80000305175781
2021-02-01,2021,2,Abidjan,4.900610179908781,55122.75515446284,113.22000122070312
2021-03-01,2021,3,Abidjan,2.0986012789711,23605.363458988646,64.16999816894531
2021-04-01,2021,4,Abidjan,5.442489832944688,61217.89399246761,180.0800018310547
2021-05-01,2021,5,Abidjan,5.986451148709111,67336.44766672455,518.1500244140625
2021-06-01,2021,6,Abidjan,5.5955463939062,62939.49579814778,196.1199951171875
2021-07-01,2021,7,Abidjan,4.904631645422319,55167.989166295425,158.2100067138672
2021-08-01,2021,8,Abidjan,5.366403846095941,60362.06807084183,315.7099914550781
2021-09-01,2021,9,Abidjan,4.189029992687529,47118.80075021884,227.9499969482422
2021-10-01,2021,10,Abidjan,5.555645798893504,62490.6882724198,107.83999633789062
2021-11-01,2021,11,Abidjan,5.98255141523799,67292.58291409076,118.80000305175781
2021-12-01,2021,12,Abidjan,5.428860146776586,61064.58535825781,110.41000366210938
2022-01-01,2022,1,Abidjan,5.059251891669548,56907.179524824896,74.55000305175781
2022-02-01,2022,2,Abidjan,5.6064911354008045,63062.60379561906,107.27999877929688
2022-03-01,2022,3,Abidjan,5.729591889398795,64447.25845551844,100.8499984741211
2022-04-01,2022,4,Abidjan,6.348975370985731,71414.17129878217,127.06999969482422
2022-05-01,2022,5,Abidjan,6.269678807576709,70522.23235874853,357.239990234375
2022-06-01,2022,6,Abidjan,6.03775920732021,67913.56795347281,272.1700134277344
